Quicktag,HTML Block,CSS Class
ft,`<h1>`,main-title
fh,`<h1>`,hidden-title
fs,`<h2>`,main-subtitle
it,`<h1>`,main-title
is,`<h2>`,main-subtitle
ma,`<h1>`,music-artist
mt,`<h2>`,music-title
ml,`<h3>`,music-label
st,`<h1>`,screen-title
sc,`<h2>`,screen-cast
ss,`<h3>`,screen-studio
pt,`<h1>`,print-title
pa,`<h2>`,print-author
pp,`<h3>`,print-publisher
gp,`<h1>`,gear-product
gt,`<h2>`,gear-type
gm,`<h3>`,gear-manufacturer
bp,`<p>`,body-plain
bb,`<h4>`,body-byline
bf,`<p>`,body-first
bm,`<p>`,body-plain
bc,`<p>`,body-center
bs,`<h3>`,body-subhead
bq,`<p>`,body-question
ba,`<blockquote>`,body-answer
ra,`<p>`,review-address
rb,`<h4>`,review-byline
lh,`<h1>`,live-headline
ls,`<h2>`,live-supporting
lp,`<h3>`,live-location
wa,`<h1>`,music-artist
wt,`<h2>`,music-title
wl,`<h3>`,music-label
wf,`<p>`,body-first
wm,`<p>`,body-middle
wd,`<p>`,review-address
wb,`<h4>`,review-byline
